time,ticks,tempo_hz,hdr_ms_tick,whole_ms,vnn_update_ms,snap_ms,snap_pct_log,snap_calls,ratio_calc
19:49:15,1471,24.514,9.4,9.34,0.57,0.0,0.0,0.0,
19:50:15,2763,23.018,16.8,16.82,1.1,0.1,0.6,0.3,0.5945303210463734
19:51:15,3564,19.782,42.1,42.06,4.4,9.38,22.3,0.5,22.30147408464099
19:52:15,4220,17.569,34.8,34.82,4.58,9.05,26.0,0.6,25.99080987937967
19:53:15,4758,15.85,60.1,60.11,7.52,11.62,19.3,0.5,19.331226085509897
19:54:15,5322,14.766,70.3,70.29,18.79,24.97,35.5,0.7,35.52425665101721
19:55:15,5805,13.807,59.8,59.78,13.67,25.26,42.2,0.7,42.25493476078956
19:56:15,6231,12.965,111.4,111.37,17.0,45.2,40.6,1.0,40.58543593427314
19:57:15,6605,12.217,93.3,93.25,15.81,33.07,35.5,0.9,35.46380697050938
19:58:15,6981,11.618,100.8,100.82,22.19,38.32,38.0,1.0,38.00833168022218
19:59:16,7353,11.123,85.7,85.73,14.04,46.42,54.1,0.9,54.14673976437653
20:00:16,7728,10.717,94.8,94.84,18.48,41.62,43.9,1.0,43.884436946436104
20:01:16,8070,10.331,85.5,85.45,12.75,41.5,48.6,1.0,48.56641310708016
20:02:16,8393,9.977,70.0,70.02,12.58,42.9,61.3,0.9,61.26820908311911
20:03:16,8715,9.668,87.1,87.08,21.52,38.1,43.7,1.0,43.75287092328893
20:04:16,9042,9.404,84.3,84.26,16.39,44.5,52.8,1.0,52.81272252551626
20:05:17,9312,9.105,1103.6,1103.56,13.99,282.24,25.6,5.0,25.575410489687922
20:06:17,9524,8.795,59.4,59.39,13.81,39.84,67.1,0.9,67.08200033675703
20:07:18,9912,8.672,94.8,94.84,17.57,40.66,42.9,1.0,42.87220582032897
20:08:18,10304,8.564,52.2,52.23,19.24,33.24,63.6,0.7,63.64158529580701
20:09:18,10697,8.468,41.7,41.73,13.54,39.56,94.8,0.8,94.79990414569855
20:10:18,11085,8.377,43.2,43.21,14.26,32.07,74.2,0.8,74.21893080305485
20:11:18,11479,8.298,45.3,45.31,17.21,36.64,80.9,0.8,80.8651511807548
20:12:18,11863,8.219,61.4,61.41,13.34,33.86,55.1,0.9,55.13759973945612
20:13:18,12242,8.142,50.8,50.78,14.95,41.96,82.6,0.9,82.63095706971248
20:14:18,12611,8.065,52.8,52.76,23.97,37.06,70.2,0.9,70.2426080363912
20:15:18,12965,7.985,123.1,123.06,15.63,62.94,51.1,1.5,51.14578254509995
20:16:18,13238,7.862,67.4,67.4,16.96,35.4,52.5,1.0,52.52225519287833
20:17:19,13616,7.807,63.1,63.04,12.41,43.89,69.6,0.9,69.62246192893402
20:18:19,13988,7.753,55.5,55.45,15.31,45.26,81.6,0.9,81.62308385933272
20:19:19,14357,7.701,53.6,53.6,20.22,38.43,71.7,0.8,71.69776119402985
20:20:19,14726,7.653,50.1,50.14,16.52,33.41,66.6,0.8,66.63342640606301
20:21:19,15091,7.605,44.2,44.17,14.16,46.74,105.8,0.9,105.81842879782657
20:22:19,15452,7.558,68.3,68.29,23.79,38.11,55.8,0.9,55.80612095475179
